Nome,Modelo,Fabricante,Custo em créditos,Comprimento,Velocidade máxima na atmosfera,Tripulação,Passageiros,Capacidade de carga,Consumíveis,Classe de nave espacial,Pilotos,Filmes,URL,Criado em,Editado em
Republic Assault ship,Acclamator I-class assault ship,Rothana Heavy Engineering,unknown,752,unknown,700,16000,11250000,2 years,assault ship,,https://swapi.dev/api/films/5/,https://swapi.dev/api/starships/52/,2014-12-20T18:08:42.926000Z,2014-12-20T21:23:49.935000Z
Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,1600,3,11,240,7 days,yacht,,https://swapi.dev/api/films/5/,https://swapi.dev/api/starships/58/,2014-12-20T18:37:56.969000Z,2014-12-20T21:23:49.937000Z
Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,1050,600,48247,50000000,4 years,capital ship,"https://swapi.dev/api/people/10/, https://swapi.dev/api/people/11/",https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/59/,2014-12-20T19:40:21.902000Z,2014-12-20T21:23:49.941000Z
Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000,18.5,2000,5,16,50000,56 days,transport,,https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/61/,2014-12-20T19:48:40.409000Z,2014-12-20T21:23:49.944000Z
Republic attack cruiser,Senator-class Star Destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,975,7400,2000,20000000,2 years,star destroyer,,https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/63/,2014-12-20T19:52:56.232000Z,2014-12-20T21:23:49.946000Z
Naboo star skiff,J-type star skiff,"Theed Palace Space Vessel Engineering Corps/Nubia Star Drives, Incorporated",unknown,29.2,1050,3,3,unknown,unknown,yacht,"https://swapi.dev/api/people/10/, https://swapi.dev/api/people/35/",https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/64/,2014-12-20T19:55:15.396000Z,2014-12-20T21:23:49.948000Z
Jedi Interceptor,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,320000,5.47,1500,1,0,60,2 days,starfighter,"https://swapi.dev/api/people/10/, https://swapi.dev/api/people/11/",https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/65/,2014-12-20T19:56:57.468000Z,2014-12-20T21:23:49.951000Z
arc-170,Aggressive Reconnaissance-170 starfighte,"Incom Corporation, Subpro Corporation",155000,14.5,1000,3,0,110,5 days,starfighter,,https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/66/,2014-12-20T20:03:48.603000Z,2014-12-20T21:23:49.953000Z
Banking clan frigte,Munificent-class star frigate,"Hoersch-Kessel Drive, Inc, Gwori Revolutionary Industries",57000000,825,unknown,200,unknown,40000000,2 years,cruiser,,https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/68/,2014-12-20T20:07:11.538000Z,2014-12-20T21:23:49.956000Z
Belbullab-22 starfighter,Belbullab-22 starfighter,Feethan Ottraw Scalable Assemblies,168000,6.71,1100,1,0,140,7 days,starfighter,"https://swapi.dev/api/people/10/, https://swapi.dev/api/people/79/",https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/74/,2014-12-20T20:38:05.031000Z,2014-12-20T21:23:49.959000Z
V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,102500,7.9,1050,1,0,60,15 hours,starfighter,,https://swapi.dev/api/films/6/,https://swapi.dev/api/starships/75/,2014-12-20T20:43:04.349000Z,2014-12-20T21:23:49.961000Z
